role,summary,core_skills,nice_to_have,entry_resources,beginner_projects,keywords
Data Analyst,"Analyze business data to generate insights, reports, and dashboards.",Python;SQL;Excel;Data Visualization;Pandas;Statistics;Power BI;Tableau,A/B Testing;ETL;Business Acumen;Storytelling,Kaggle Datasets;Google Data Analytics;Power BI Guided Learning,Sales Dashboard;Churn Analysis;Survey Insights,analytics;bi;dashboards;reports
Machine Learning Engineer,"Build, train, and deploy ML models for predictive tasks.",Python;Scikit-learn;Pandas;Numpy;Statistics;ML Algorithms;Git;APIs,Docker;CI/CD;Feature Engineering;FastAPI,Intro to ML;Hands-on ML with Scikit-learn;FastAPI Tutorials,House Price Prediction;Spam Classifier;Fraud Detection (synthetic),ml;modeling;deployment
AI Engineer (LLMs),"Integrate and optimize LLMs for chat, summarization, and automation use cases.",Python;Prompt Engineering;Large Language Models;Vector Databases;APIs;Evaluation,RAG;Embeddings;LangChain;Azure AI;OpenAI,Prompt Engineering Guides;Intro to RAG;LLM Evaluation Basics,FAQ Chatbot;Document Summarizer;RAG on PDFs,llm;rag;prompting
Data Scientist,Apply statistics and ML to derive insights and build data-driven solutions.,Python;Statistics;Pandas;Scikit-learn;EDA;Visualization;SQL,Experiment Design;Time Series;NLP;CV,Statistics Foundations;EDA Playbook;Kaggle Competitions,Customer Segmentation;Time Series Forecasting;A/B Test Simulation,eda;experimentation;insights
NLP Engineer,Build text processing and understanding systems.,Python;NLP;Text Preprocessing;Embeddings;Classification;Evaluation,Transformers;LLMs;SpaCy;Hugging Face,NLP with Python;Hugging Face Tutorials;SpaCy Course,Sentiment Analysis;News Classifier;Topic Modeling,text;classification;transformers
Computer Vision Engineer,Develop image/video understanding systems.,Python;OpenCV;Image Processing;CNNs;Data Augmentation,Transfer Learning;Torch/TensorFlow;Deployment,OpenCV Guides;Intro to CNNs;Image Augmentation Recipes,Object Detector (pretrained);Face Mask Classifier;Defect Detection (synthetic),cv;images;cnn
Backend Developer (Python),Design and build APIs and backend services.,Python;FastAPI;Flask;SQL;Git;Testing;APIs;OOP,Docker;Cloud;Auth;Caching,FastAPI Docs;Flask Mega-Tutorial;SQL Basics,Todo API;Auth-Enabled Notes App;File Upload Service,api;backend;microservices
Cloud/DevOps Engineer (Azure),"Automate, deploy, and monitor apps and ML systems on cloud (Azure).",Azure;Linux;Docker;CI/CD;Monitoring;Networking Basics,Kubernetes;Terraform;Security,Azure Fundamentals;Docker 101;CI/CD Pipelines,Containerize App;Azure Web App Deploy;Pipeline with Tests,azure;devops;cloud
MLOps Engineer,"Operationalize ML: versioning, pipelines, monitoring, and deployment.",Python;MLFlow;Experiment Tracking;Pipelines;Docker;Monitoring,Feature Stores;CI/CD;Cloud,MLFlow Basics;Data/Model Versioning;Monitoring 101,Model Registry Demo;Drift Detection;Train/Serve Pipeline,mlops;pipelines;monitoring
Cybersecurity Analyst,Monitor and secure systems against threats.,Networking Basics;Linux;SIEM;Scripting;Log Analysis,Threat Intelligence;Incident Response;Cloud Security,Security+ Domains;SIEM Labs;Linux Basics,Log Anomaly Detector;Port Scanner;Alert Rules,security;siem;threats
